,ranking_date,rank,player,points,full_name
963995,2010-06-21,4,104918,5155.0,Andy Murray
963996,2010-06-21,5,103786,4785.0,Nikolay Davydenko
965772,2010-06-28,1,104745,8745.0,Rafael Nadal
965773,2010-06-28,2,103819,8525.0,Roger Federer
965774,2010-06-28,3,104925,6545.0,Novak Djokovic
965775,2010-06-28,4,104918,5155.0,Andy Murray
965776,2010-06-28,5,103786,4785.0,Nikolay Davydenko
967552,2010-07-05,1,104745,10745.0,Rafael Nadal
967553,2010-07-05,2,104925,6905.0,Novak Djokovic
967554,2010-07-05,3,103819,6885.0,Roger Federer
967555,2010-07-05,4,104918,5155.0,Andy Murray
967556,2010-07-05,5,104417,4935.0,Robin Soderling
969328,2010-07-12,1,104745,10745.0,Rafael Nadal
969329,2010-07-12,2,104925,6905.0,Novak Djokovic
969330,2010-07-12,3,103819,6885.0,Roger Federer
969331,2010-07-12,4,104918,5155.0,Andy Murray
969332,2010-07-12,5,104417,4935.0,Robin Soderling
971106,2010-07-19,1,104745,10745.0,Rafael Nadal
971107,2010-07-19,2,104925,6905.0,Novak Djokovic
971108,2010-07-19,3,103819,6885.0,Roger Federer
971109,2010-07-19,4,104918,5155.0,Andy Murray
971110,2010-07-19,5,104417,4835.0,Robin Soderling
972888,2010-07-26,1,104745,10745.0,Rafael Nadal
972889,2010-07-26,2,104925,6905.0,Novak Djokovic
972890,2010-07-26,3,103819,6795.0,Roger Federer
972891,2010-07-26,4,104918,5155.0,Andy Murray
972892,2010-07-26,5,104417,4835.0,Robin Soderling
974668,2010-08-02,1,104745,10745.0,Rafael Nadal
974669,2010-08-02,2,104925,6905.0,Novak Djokovic
974670,2010-08-02,3,103819,6795.0,Roger Federer
974671,2010-08-02,4,104918,5305.0,Andy Murray
974672,2010-08-02,5,104417,4835.0,Robin Soderling
976450,2010-08-09,1,104745,10745.0,Rafael Nadal
976451,2010-08-09,2,104925,6905.0,Novak Djokovic
976452,2010-08-09,3,103819,6795.0,Roger Federer
976453,2010-08-09,4,104918,5305.0,Andy Murray
976454,2010-08-09,5,104417,4740.0,Robin Soderling
978230,2010-08-16,1,104745,10925.0,Rafael Nadal
978231,2010-08-16,2,103819,7215.0,Roger Federer
978232,2010-08-16,3,104925,7085.0,Novak Djokovic
978233,2010-08-16,4,104918,5305.0,Andy Murray
978234,2010-08-16,5,104417,4830.0,Robin Soderling
980008,2010-08-23,1,104745,10745.0,Rafael Nadal
980009,2010-08-23,2,103819,7215.0,Roger Federer
980010,2010-08-23,3,104925,6665.0,Novak Djokovic
980011,2010-08-23,4,104918,5125.0,Andy Murray
980012,2010-08-23,5,104417,4910.0,Robin Soderling
981793,2010-08-30,1,104745,10745.0,Rafael Nadal
981794,2010-08-30,2,103819,7215.0,Roger Federer
981795,2010-08-30,3,104925,6665.0,Novak Djokovic
981796,2010-08-30,4,104918,5125.0,Andy Murray
981797,2010-08-30,5,104417,4910.0,Robin Soderling
983574,2010-09-06,1,104745,10745.0,Rafael Nadal
983575,2010-09-06,2,103819,7215.0,Roger Federer
983576,2010-09-06,3,104925,6665.0,Novak Djokovic
983577,2010-09-06,4,104918,5125.0,Andy Murray
983578,2010-09-06,5,104417,4910.0,Robin Soderling
985355,2010-09-13,1,104745,12025.0,Rafael Nadal
985356,2010-09-13,2,104925,7145.0,Novak Djokovic
985357,2010-09-13,3,103819,6735.0,Roger Federer
985358,2010-09-13,4,104918,5035.0,Andy Murray
985359,2010-09-13,5,104417,4910.0,Robin Soderling
987128,2010-09-20,1,104745,12025.0,Rafael Nadal
987129,2010-09-20,2,104925,7145.0,Novak Djokovic
987130,2010-09-20,3,103819,6735.0,Roger Federer
987131,2010-09-20,4,104918,5035.0,Andy Murray
987132,2010-09-20,5,104417,4910.0,Robin Soderling
988899,2010-09-27,1,104745,12025.0,Rafael Nadal
988900,2010-09-27,2,104925,7145.0,Novak Djokovic
988901,2010-09-27,3,103819,6735.0,Roger Federer
988902,2010-09-27,4,104918,5035.0,Andy Murray
988903,2010-09-27,5,104417,4910.0,Robin Soderling
990672,2010-10-04,1,104745,12070.0,Rafael Nadal
990673,2010-10-04,2,104925,7145.0,Novak Djokovic
990674,2010-10-04,3,103819,6735.0,Roger Federer
990675,2010-10-04,4,104918,5035.0,Andy Murray
990676,2010-10-04,5,104417,4910.0,Robin Soderling
992453,2010-10-11,1,104745,12390.0,Rafael Nadal
992454,2010-10-11,2,104925,7145.0,Novak Djokovic
992455,2010-10-11,3,103819,6735.0,Roger Federer
992456,2010-10-11,4,104918,5125.0,Andy Murray
992457,2010-10-11,5,104417,4825.0,Robin Soderling
994242,2010-10-18,1,104745,11880.0,Rafael Nadal
994243,2010-10-18,2,103819,7335.0,Roger Federer
994244,2010-10-18,3,104925,7145.0,Novak Djokovic
994245,2010-10-18,4,104918,6125.0,Andy Murray
994246,2010-10-18,5,104417,4825.0,Robin Soderling
996006,2010-10-25,1,104745,11880.0,Rafael Nadal
996007,2010-10-25,2,103819,7495.0,Roger Federer
996008,2010-10-25,3,104925,7145.0,Novak Djokovic
996009,2010-10-25,4,104918,6125.0,Andy Murray
996010,2010-10-25,5,104417,4780.0,Robin Soderling
997771,2010-11-01,1,104745,11880.0,Rafael Nadal
997772,2010-11-01,2,103819,7495.0,Roger Federer
997773,2010-11-01,3,104925,7145.0,Novak Djokovic
997774,2010-11-01,4,104918,6125.0,Andy Murray
997775,2010-11-01,5,104417,4780.0,Robin Soderling
999533,2010-11-08,1,104745,11810.0,Rafael Nadal
999534,2010-11-08,2,103819,7695.0,Roger Federer
999535,2010-11-08,3,104925,6945.0,Novak Djokovic
999536,2010-11-08,4,104918,5670.0,Andy Murray
999537,2010-11-08,5,104417,4960.0,Robin Soderling
1001293,2010-11-15,1,104745,11450.0,Rafael Nadal
1001294,2010-11-15,2,103819,7645.0,Roger Federer
1001295,2010-11-15,3,104925,5635.0,Novak Djokovic
1001296,2010-11-15,4,104417,5380.0,Robin Soderling
1001297,2010-11-15,5,104918,5360.0,Andy Murray
1003051,2010-11-22,1,104745,11450.0,Rafael Nadal
1003052,2010-11-22,2,103819,7645.0,Roger Federer
1003053,2010-11-22,3,104925,5635.0,Novak Djokovic
1003054,2010-11-22,4,104417,5380.0,Robin Soderling
1003055,2010-11-22,5,104918,5360.0,Andy Murray
1004802,2010-11-29,1,104745,12450.0,Rafael Nadal
1004803,2010-11-29,2,103819,9145.0,Roger Federer
1004804,2010-11-29,3,104925,6035.0,Novak Djokovic
1004805,2010-11-29,4,104918,5760.0,Andy Murray
1004806,2010-11-29,5,104417,5580.0,Robin Soderling
1006550,2010-12-06,1,104745,12450.0,Rafael Nadal
1006551,2010-12-06,2,103819,9145.0,Roger Federer
1006552,2010-12-06,3,104925,6240.0,Novak Djokovic
1006553,2010-12-06,4,104918,5760.0,Andy Murray
1006554,2010-12-06,5,104417,5580.0,Robin Soderling
1008295,2010-12-13,1,104745,12450.0,Rafael Nadal
1008296,2010-12-13,2,103819,9145.0,Roger Federer
1008297,2010-12-13,3,104925,6240.0,Novak Djokovic
1008298,2010-12-13,4,104918,5760.0,Andy Murray
1008299,2010-12-13,5,104417,5580.0,Robin Soderling
1010042,2010-12-20,1,104745,12450.0,Rafael Nadal
1010043,2010-12-20,2,103819,9145.0,Roger Federer
1010044,2010-12-20,3,104925,6240.0,Novak Djokovic
1010045,2010-12-20,4,104918,5760.0,Andy Murray
1010046,2010-12-20,5,104417,5580.0,Robin Soderling
1011788,2010-12-27,1,104745,12450.0,Rafael Nadal
1011789,2010-12-27,2,103819,9145.0,Roger Federer
1011790,2010-12-27,3,104925,6240.0,Novak Djokovic
1011791,2010-12-27,4,104918,5760.0,Andy Murray
1011792,2010-12-27,5,104417,5580.0,Robin Soderling
1013542,2011-01-03,1,104745,12450.0,Rafael Nadal
1013543,2011-01-03,2,103819,9145.0,Roger Federer
1013544,2011-01-03,3,104925,6240.0,Novak Djokovic
1013545,2011-01-03,4,104918,5760.0,Andy Murray
1013546,2011-01-03,5,104417,5580.0,Robin Soderling
1015295,2011-01-10,1,104745,12390.0,Rafael Nadal
1015296,2011-01-10,2,103819,9245.0,Roger Federer
1015297,2011-01-10,3,104925,6240.0,Novak Djokovic
1015298,2011-01-10,4,104417,5785.0,Robin Soderling
1015299,2011-01-10,5,104918,5760.0,Andy Murray
1017047,2011-01-17,1,104745,12390.0,Rafael Nadal
1017048,2011-01-17,2,103819,9245.0,Roger Federer
1017049,2011-01-17,3,104925,6240.0,Novak Djokovic
1017050,2011-01-17,4,104417,5785.0,Robin Soderling
1017051,2011-01-17,5,104918,5760.0,Andy Murray
1018800,2011-01-31,1,104745,12390.0,Rafael Nadal
1018801,2011-01-31,2,103819,7965.0,Roger Federer
1018802,2011-01-31,3,104925,7880.0,Novak Djokovic
1018803,2011-01-31,4,104417,5955.0,Robin Soderling
1018804,2011-01-31,5,104918,5760.0,Andy Murray
1020559,2011-02-07,1,104745,12390.0,Rafael Nadal
1020560,2011-02-07,2,103819,7965.0,Roger Federer
1020561,2011-02-07,3,104925,7880.0,Novak Djokovic
1020562,2011-02-07,4,104417,5955.0,Robin Soderling
1020563,2011-02-07,5,104918,5760.0,Andy Murray
1022320,2011-02-14,1,104745,12390.0,Rafael Nadal
1022321,2011-02-14,2,103819,7965.0,Roger Federer
1022322,2011-02-14,3,104925,7880.0,Novak Djokovic
1022323,2011-02-14,4,104417,5955.0,Robin Soderling
1022324,2011-02-14,5,104918,5760.0,Andy Murray
1024084,2011-02-21,1,104745,12390.0,Rafael Nadal
1024085,2011-02-21,2,103819,7965.0,Roger Federer
1024086,2011-02-21,3,104925,7880.0,Novak Djokovic
1024087,2011-02-21,4,104417,6055.0,Robin Soderling
1024088,2011-02-21,5,104918,5760.0,Andy Murray
1025849,2011-02-28,1,104745,12390.0,Rafael Nadal
1025850,2011-02-28,2,103819,7965.0,Roger Federer
1025851,2011-02-28,3,104925,7880.0,Novak Djokovic
1025852,2011-02-28,4,104417,6055.0,Robin Soderling
1025853,2011-02-28,5,104918,5715.0,Andy Murray
1027608,2011-03-07,1,104745,12390.0,Rafael Nadal
1027609,2011-03-07,2,103819,7965.0,Roger Federer
1027610,2011-03-07,3,104925,7800.0,Novak Djokovic
1027611,2011-03-07,4,104417,6050.0,Robin Soderling
1027612,2011-03-07,5,104918,5715.0,Andy Murray
1029368,2011-03-21,1,104745,12630.0,Rafael Nadal
1029369,2011-03-21,2,104925,8710.0,Novak Djokovic
1029370,2011-03-21,3,103819,8280.0,Roger Federer
1029371,2011-03-21,4,104417,5735.0,Robin Soderling
1029372,2011-03-21,5,104918,5545.0,Andy Murray
1031140,2011-04-04,1,104745,12870.0,Rafael Nadal
1031141,2011-04-04,2,104925,9700.0,Novak Djokovic
1031142,2011-04-04,3,103819,8550.0,Roger Federer
1031143,2011-04-04,4,104918,5545.0,Andy Murray
1031144,2011-04-04,5,104417,5420.0,Robin Soderling
1032914,2011-04-11,1,104745,12870.0,Rafael Nadal
1032915,2011-04-11,2,104925,9700.0,Novak Djokovic
1032916,2011-04-11,3,103819,8550.0,Roger Federer
1032917,2011-04-11,4,104918,5545.0,Andy Murray
1032918,2011-04-11,5,104417,5420.0,Robin Soderling
1034690,2011-04-18,1,104745,12870.0,Rafael Nadal
1034691,2011-04-18,2,104925,9640.0,Novak Djokovic
1034692,2011-04-18,3,103819,8550.0,Roger Federer
1034693,2011-04-18,4,104918,5905.0,Andy Murray
1034694,2011-04-18,5,104417,5420.0,Robin Soderling
1036464,2011-04-25,1,104745,12870.0,Rafael Nadal
1036465,2011-04-25,2,104925,9640.0,Novak Djokovic
1036466,2011-04-25,3,103819,8550.0,Roger Federer
1036467,2011-04-25,4,104918,5905.0,Andy Murray
1036468,2011-04-25,5,104417,5175.0,Robin Soderling
1038238,2011-05-02,1,104745,11915.0,Rafael Nadal
1038239,2011-05-02,2,104925,9710.0,Novak Djokovic
1038240,2011-05-02,3,103819,8690.0,Roger Federer
1038241,2011-05-02,4,104918,5815.0,Andy Murray
1038242,2011-05-02,5,104417,5235.0,Robin Soderling
1040010,2011-05-09,1,104745,12470.0,Rafael Nadal
1040011,2011-05-09,2,104925,10665.0,Novak Djokovic
1040012,2011-05-09,3,103819,8900.0,Roger Federer
1040013,2011-05-09,4,104918,5905.0,Andy Murray
1040014,2011-05-09,5,104417,5265.0,Robin Soderling
1041785,2011-05-16,1,104745,12070.0,Rafael Nadal
1041786,2011-05-16,2,104925,11665.0,Novak Djokovic
1041787,2011-05-16,3,103819,8390.0,Roger Federer
1041788,2011-05-16,4,104918,6085.0,Andy Murray
1041789,2011-05-16,5,104417,5435.0,Robin Soderling
1043565,2011-05-23,1,104745,12070.0,Rafael Nadal
1043566,2011-05-23,2,104925,11665.0,Novak Djokovic
1043567,2011-05-23,3,103819,8390.0,Roger Federer
1043568,2011-05-23,4,104918,6085.0,Andy Murray
1043569,2011-05-23,5,104417,5435.0,Robin Soderling
1045361,2011-06-06,1,104745,12070.0,Rafael Nadal
1045362,2011-06-06,2,104925,12025.0,Novak Djokovic
1045363,2011-06-06,3,103819,9230.0,Roger Federer
1045364,2011-06-06,4,104918,6625.0,Andy Murray
1045365,2011-06-06,5,104417,4595.0,Robin Soderling
1047208,2011-06-13,1,104745,12070.0,Rafael Nadal
1047209,2011-06-13,2,104925,12005.0,Novak Djokovic
1047210,2011-06-13,3,103819,9230.0,Roger Federer
1047211,2011-06-13,4,104918,6855.0,Andy Murray
1047212,2011-06-13,5,104417,4595.0,Robin Soderling
1049065,2011-06-20,1,104745,12070.0,Rafael Nadal
1049066,2011-06-20,2,104925,12005.0,Novak Djokovic
1049067,2011-06-20,3,103819,9230.0,Roger Federer
1049068,2011-06-20,4,104918,6855.0,Andy Murray
1049069,2011-06-20,5,104417,4595.0,Robin Soderling
1050927,2011-07-04,1,104925,13285.0,Novak Djokovic
1050928,2011-07-04,2,104745,11270.0,Rafael Nadal
1050929,2011-07-04,3,103819,9230.0,Roger Federer
1050930,2011-07-04,4,104918,6855.0,Andy Murray
1050931,2011-07-04,5,104417,4325.0,Robin Soderling
1052796,2011-07-11,1,104925,13155.0,Novak Djokovic
1052797,2011-07-11,2,104745,11270.0,Rafael Nadal
1052798,2011-07-11,3,103819,9230.0,Roger Federer
1052799,2011-07-11,4,104918,6855.0,Andy Murray
1052800,2011-07-11,5,104417,4325.0,Robin Soderling
1054657,2011-07-18,1,104925,13155.0,Novak Djokovic
1054658,2011-07-18,2,104745,11270.0,Rafael Nadal
1054659,2011-07-18,3,103819,9230.0,Roger Federer
1054660,2011-07-18,4,104918,6855.0,Andy Murray
1054661,2011-07-18,5,104417,4325.0,Robin Soderling
1056536,2011-07-25,1,104925,13155.0,Novak Djokovic
1056537,2011-07-25,2,104745,11270.0,Rafael Nadal
1056538,2011-07-25,3,103819,9530.0,Roger Federer
1056539,2011-07-25,4,104918,6855.0,Andy Murray
1056540,2011-07-25,5,104417,4325.0,Robin Soderling
1058420,2011-08-01,1,104925,13155.0,Novak Djokovic
1058421,2011-08-01,2,104745,11270.0,Rafael Nadal
1058422,2011-08-01,3,103819,9530.0,Roger Federer
1058423,2011-08-01,4,104918,6705.0,Andy Murray
1058424,2011-08-01,5,104417,4325.0,Robin Soderling
1060301,2011-08-08,1,104925,12860.0,Novak Djokovic
1060302,2011-08-08,2,104745,11770.0,Rafael Nadal
1060303,2011-08-08,3,103819,9710.0,Roger Federer
1060304,2011-08-08,4,104918,6705.0,Andy Murray
1060305,2011-08-08,5,104417,4325.0,Robin Soderling
1062184,2011-08-15,1,104925,13500.0,Novak Djokovic
1062185,2011-08-15,2,104745,11420.0,Rafael Nadal
1062186,2011-08-15,3,103819,9200.0,Roger Federer
1062187,2011-08-15,4,104918,5715.0,Andy Murray
1062188,2011-08-15,5,104417,4235.0,Robin Soderling
1064072,2011-08-22,1,104925,13920.0,Novak Djokovic
1064073,2011-08-22,2,104745,11420.0,Rafael Nadal
1064074,2011-08-22,3,103819,8380.0,Roger Federer
1064075,2011-08-22,4,104918,6535.0,Andy Murray
1064076,2011-08-22,5,103970,4200.0,David Ferrer
1065969,2011-08-29,1,104925,13920.0,Novak Djokovic
1065970,2011-08-29,2,104745,11420.0,Rafael Nadal
1065971,2011-08-29,3,103819,8380.0,Roger Federer
1065972,2011-08-29,4,104918,6535.0,Andy Murray
1065973,2011-08-29,5,103970,4200.0,David Ferrer
1067874,2011-09-12,1,104925,14720.0,Novak Djokovic
1067875,2011-09-12,2,104745,10620.0,Rafael Nadal
1067876,2011-09-12,3,103819,8380.0,Roger Federer
1067877,2011-09-12,4,104918,7165.0,Andy Murray
1067878,2011-09-12,5,103970,4200.0,David Ferrer
1069798,2011-09-19,1,104925,14720.0,Novak Djokovic
1069799,2011-09-19,2,104745,10620.0,Rafael Nadal
1069800,2011-09-19,3,103819,8380.0,Roger Federer
1069801,2011-09-19,4,104918,7165.0,Andy Murray
1069802,2011-09-19,5,103970,4200.0,David Ferrer
1071729,2011-09-26,1,104925,14720.0,Novak Djokovic
1071730,2011-09-26,2,104745,10620.0,Rafael Nadal
1071731,2011-09-26,3,103819,8380.0,Roger Federer
1071732,2011-09-26,4,104918,7165.0,Andy Murray
1071733,2011-09-26,5,103970,4200.0,David Ferrer
1073667,2011-10-03,1,104925,14720.0,Novak Djokovic
1073668,2011-10-03,2,104745,10575.0,Rafael Nadal
1073669,2011-10-03,3,103819,8380.0,Roger Federer
1073670,2011-10-03,4,104918,7415.0,Andy Murray
1073671,2011-10-03,5,103970,4200.0,David Ferrer
1075608,2011-10-10,1,104925,14220.0,Novak Djokovic
1075609,2011-10-10,2,104745,10375.0,Rafael Nadal
1075610,2011-10-10,3,103819,8380.0,Roger Federer
1075611,2011-10-10,4,104918,7825.0,Andy Murray
1075612,2011-10-10,5,103970,4200.0,David Ferrer
1077551,2011-10-17,1,104925,13860.0,Novak Djokovic
1077552,2011-10-17,2,104745,10375.0,Rafael Nadal
1077553,2011-10-17,3,104918,7825.0,Andy Murray
1077554,2011-10-17,4,103819,7780.0,Roger Federer
1077555,2011-10-17,5,103970,4710.0,David Ferrer
1079505,2011-10-24,1,104925,13860.0,Novak Djokovic
1079506,2011-10-24,2,104745,10375.0,Rafael Nadal
1079507,2011-10-24,3,104918,7825.0,Andy Murray
1079508,2011-10-24,4,103819,7530.0,Roger Federer
1079509,2011-10-24,5,103970,4710.0,David Ferrer
1081454,2011-10-31,1,104925,13860.0,Novak Djokovic
1081455,2011-10-31,2,104745,10375.0,Rafael Nadal
1081456,2011-10-31,3,104918,7825.0,Andy Murray
1081457,2011-10-31,4,103819,7530.0,Roger Federer
1081458,2011-10-31,5,103970,4710.0,David Ferrer
1083404,2011-11-07,1,104925,13785.0,Novak Djokovic
1083405,2011-11-07,2,104745,10375.0,Rafael Nadal
1083406,2011-11-07,3,104918,7780.0,Andy Murray
1083407,2011-11-07,4,103819,7530.0,Roger Federer
1083408,2011-11-07,5,103970,4390.0,David Ferrer
1085357,2011-11-14,1,104925,13475.0,Novak Djokovic
1085358,2011-11-14,2,104745,9375.0,Rafael Nadal
1085359,2011-11-14,3,104918,7380.0,Andy Murray
1085360,2011-11-14,4,103819,6670.0,Roger Federer
1085361,2011-11-14,5,103970,4480.0,David Ferrer
1087300,2011-11-21,1,104925,13475.0,Novak Djokovic
1087301,2011-11-21,2,104745,9375.0,Rafael Nadal
1087302,2011-11-21,3,104918,7380.0,Andy Murray
1087303,2011-11-21,4,103819,6670.0,Roger Federer
1087304,2011-11-21,5,103970,4480.0,David Ferrer
1089249,2011-11-28,1,104925,13675.0,Novak Djokovic
1089250,2011-11-28,2,104745,9575.0,Rafael Nadal
1089251,2011-11-28,3,103819,8170.0,Roger Federer
1089252,2011-11-28,4,104918,7380.0,Andy Murray
1089253,2011-11-28,5,103970,4880.0,David Ferrer
1091200,2011-12-05,1,104925,13630.0,Novak Djokovic
1091201,2011-12-05,2,104745,9595.0,Rafael Nadal
1091202,2011-12-05,3,103819,8170.0,Roger Federer
1091203,2011-12-05,4,104918,7380.0,Andy Murray
1091204,2011-12-05,5,103970,4925.0,David Ferrer
1093149,2011-12-12,1,104925,13630.0,Novak Djokovic
1093150,2011-12-12,2,104745,9595.0,Rafael Nadal
1093151,2011-12-12,3,103819,8170.0,Roger Federer
1093152,2011-12-12,4,104918,7380.0,Andy Murray
1093153,2011-12-12,5,103970,4925.0,David Ferrer
1095101,2011-12-19,1,104925,13630.0,Novak Djokovic
1095102,2011-12-19,2,104745,9595.0,Rafael Nadal
1095103,2011-12-19,3,103819,8170.0,Roger Federer
1095104,2011-12-19,4,104918,7380.0,Andy Murray
1095105,2011-12-19,5,103970,4925.0,David Ferrer
1097049,2011-12-26,1,104925,13630.0,Novak Djokovic
1097050,2011-12-26,2,104745,9595.0,Rafael Nadal
1097051,2011-12-26,3,103819,8170.0,Roger Federer
1097052,2011-12-26,4,104918,7380.0,Andy Murray
1097053,2011-12-26,5,103970,4925.0,David Ferrer
1098992,2012-01-02,1,104925,13630.0,Novak Djokovic
1098993,2012-01-02,2,104745,9595.0,Rafael Nadal
1098994,2012-01-02,3,103819,8170.0,Roger Federer
1098995,2012-01-02,4,104918,7380.0,Andy Murray
1098996,2012-01-02,5,103970,4925.0,David Ferrer
1100936,2012-01-09,1,104925,13630.0,Novak Djokovic
1100937,2012-01-09,2,104745,9595.0,Rafael Nadal
1100938,2012-01-09,3,103819,8010.0,Roger Federer
1100939,2012-01-09,4,104918,7380.0,Andy Murray
1100940,2012-01-09,5,103970,4925.0,David Ferrer
1102881,2012-01-16,1,104925,13630.0,Novak Djokovic
1102882,2012-01-16,2,104745,9595.0,Rafael Nadal
1102883,2012-01-16,3,103819,8010.0,Roger Federer
1102884,2012-01-16,4,104918,7380.0,Andy Murray
1102885,2012-01-16,5,103970,4925.0,David Ferrer
1104822,2012-01-30,1,104925,13630.0,Novak Djokovic
1104823,2012-01-30,2,104745,10435.0,Rafael Nadal
1104824,2012-01-30,3,103819,8010.0,Roger Federer
1104825,2012-01-30,4,104918,6900.0,Andy Murray
1104826,2012-01-30,5,103970,4565.0,David Ferrer
1106749,2012-02-06,1,104925,13630.0,Novak Djokovic
1106750,2012-02-06,2,104745,10435.0,Rafael Nadal
1106751,2012-02-06,3,103819,8010.0,Roger Federer
1106752,2012-02-06,4,104918,6900.0,Andy Murray
1106753,2012-02-06,5,103970,4565.0,David Ferrer
1108681,2012-02-13,1,104925,13630.0,Novak Djokovic
1108682,2012-02-13,2,104745,10435.0,Rafael Nadal
1108683,2012-02-13,3,103819,8010.0,Roger Federer
1108684,2012-02-13,4,104918,7150.0,Andy Murray
1108685,2012-02-13,5,103970,4565.0,David Ferrer
1110611,2012-02-20,1,104925,13630.0,Novak Djokovic
1110612,2012-02-20,2,104745,10435.0,Rafael Nadal
1110613,2012-02-20,3,103819,8330.0,Roger Federer
1110614,2012-02-20,4,104918,7150.0,Andy Murray
1110615,2012-02-20,5,103970,4595.0,David Ferrer
1112543,2012-02-27,1,104925,13130.0,Novak Djokovic
1112544,2012-02-27,2,104745,10435.0,Rafael Nadal
1112545,2012-02-27,3,103819,8235.0,Roger Federer
1112546,2012-02-27,4,104918,7150.0,Andy Murray
1112547,2012-02-27,5,104542,4410.0,Jo-Wilfried Tsonga
1114481,2012-03-05,1,104925,13310.0,Novak Djokovic
1114482,2012-03-05,2,104745,10415.0,Rafael Nadal
1114483,2012-03-05,3,103819,8710.0,Roger Federer
1114484,2012-03-05,4,104918,7450.0,Andy Murray
1114485,2012-03-05,5,103970,4665.0,David Ferrer
1116422,2012-03-19,1,104925,12670.0,Novak Djokovic
1116423,2012-03-19,2,104745,10175.0,Rafael Nadal
1116424,2012-03-19,3,103819,9350.0,Roger Federer
1116425,2012-03-19,4,104918,7450.0,Andy Murray
1116426,2012-03-19,5,103970,4700.0,David Ferrer
1118357,2012-04-02,1,104925,12670.0,Novak Djokovic
1118358,2012-04-02,2,104745,9935.0,Rafael Nadal
1118359,2012-04-02,3,103819,9035.0,Roger Federer
1118360,2012-04-02,4,104918,8040.0,Andy Murray
1118361,2012-04-02,5,103970,4700.0,David Ferrer
1120298,2012-04-09,1,104925,12670.0,Novak Djokovic
1120299,2012-04-09,2,104745,9935.0,Rafael Nadal
1120300,2012-04-09,3,103819,9035.0,Roger Federer
1120301,2012-04-09,4,104918,8040.0,Andy Murray
1120302,2012-04-09,5,104542,4735.0,Jo-Wilfried Tsonga
1122242,2012-04-16,1,104925,12670.0,Novak Djokovic
1122243,2012-04-16,2,104745,9215.0,Rafael Nadal
1122244,2012-04-16,3,103819,8880.0,Roger Federer
1122245,2012-04-16,4,104918,7680.0,Andy Murray
1122246,2012-04-16,5,104542,4795.0,Jo-Wilfried Tsonga
1124190,2012-04-23,1,104925,13270.0,Novak Djokovic
1124191,2012-04-23,2,104745,9715.0,Rafael Nadal
1124192,2012-04-23,3,103819,8880.0,Roger Federer
1124193,2012-04-23,4,104918,7860.0,Andy Murray
1124194,2012-04-23,5,104542,4830.0,Jo-Wilfried Tsonga
1126136,2012-04-30,1,104925,13020.0,Novak Djokovic
1126137,2012-04-30,2,104745,10170.0,Rafael Nadal
1126138,2012-04-30,3,103819,8880.0,Roger Federer
1126139,2012-04-30,4,104918,7860.0,Andy Murray
1126140,2012-04-30,5,104542,4830.0,Jo-Wilfried Tsonga
1128088,2012-05-07,1,104925,12020.0,Novak Djokovic
1128089,2012-05-07,2,104745,9615.0,Rafael Nadal
1128090,2012-05-07,3,103819,8520.0,Roger Federer
1128091,2012-05-07,4,104918,7860.0,Andy Murray
1128092,2012-05-07,5,104542,4885.0,Jo-Wilfried Tsonga
1130038,2012-05-14,1,104925,11200.0,Novak Djokovic
1130039,2012-05-14,2,103819,9430.0,Roger Federer
1130040,2012-05-14,3,104745,9105.0,Rafael Nadal
1130041,2012-05-14,4,104918,7500.0,Andy Murray
1130042,2012-05-14,5,104542,4930.0,Jo-Wilfried Tsonga
1131990,2012-05-21,1,104925,11800.0,Novak Djokovic
1131991,2012-05-21,2,104745,10060.0,Rafael Nadal
1131992,2012-05-21,3,103819,9790.0,Roger Federer
1131993,2012-05-21,4,104918,7500.0,Andy Murray
1131994,2012-05-21,5,104542,4965.0,Jo-Wilfried Tsonga
1133929,2012-05-28,1,104925,11800.0,Novak Djokovic
1133930,2012-05-28,2,104745,10060.0,Rafael Nadal
1133931,2012-05-28,3,103819,9790.0,Roger Federer
1133932,2012-05-28,4,104918,7500.0,Andy Murray
1133933,2012-05-28,5,104542,4965.0,Jo-Wilfried Tsonga
1135883,2012-06-11,1,104925,12280.0,Novak Djokovic
1135884,2012-06-11,2,104745,10060.0,Rafael Nadal
1135885,2012-06-11,3,103819,9310.0,Roger Federer
1135886,2012-06-11,4,104918,6980.0,Andy Murray
1135887,2012-06-11,5,104542,5230.0,Jo-Wilfried Tsonga
1137793,2012-06-18,1,104925,12280.0,Novak Djokovic
1137794,2012-06-18,2,104745,10060.0,Rafael Nadal
1137795,2012-06-18,3,103819,9435.0,Roger Federer
1137796,2012-06-18,4,104918,6980.0,Andy Murray
1137797,2012-06-18,5,104542,5230.0,Jo-Wilfried Tsonga
1139704,2012-06-25,1,104925,12280.0,Novak Djokovic
1139705,2012-06-25,2,104745,10060.0,Rafael Nadal
1139706,2012-06-25,3,103819,9435.0,Roger Federer
1139707,2012-06-25,4,104918,6980.0,Andy Murray
1139708,2012-06-25,5,103970,5250.0,David Ferrer
1141629,2012-07-09,1,103819,11075.0,Roger Federer
1141630,2012-07-09,2,104925,11000.0,Novak Djokovic
1141631,2012-07-09,3,104745,8905.0,Rafael Nadal
1141632,2012-07-09,4,104918,7460.0,Andy Murray
1141633,2012-07-09,5,103970,5430.0,David Ferrer
1143541,2012-07-16,1,103819,11075.0,Roger Federer
