,match_id,match_date,player,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
1325,20250630-M-Wimbledon-R128-Giovanni_Mpetshi_Perricard-Taylor_Fritz,2025-06-30,Taylor Fritz,2,107,92,52,37,0,0,185,53,66,19,11,14,4,8
1336,20250630-M-Wimbledon-R128-Fabio_Fognini-Carlos_Alcaraz,2025-06-30,Fabio Fognini,9,107,68,61,34,15,8,189,71,50,35,14,66,27,30
1337,20250630-M-Wimbledon-R128-Fabio_Fognini-Carlos_Alcaraz,2025-06-30,Carlos Alcaraz,9,111,78,78,40,21,16,168,66,49,24,11,66,40,17
1348,20250630-M-Wimbledon-R128-Ethan_Quinn-Henry_Searle,2025-06-30,Ethan Quinn,5,76,56,48,27,12,8,120,52,34,16,5,46,24,17
1349,20250630-M-Wimbledon-R128-Ethan_Quinn-Henry_Searle,2025-06-30,Henry Searle,6,69,42,51,26,8,1,124,41,29,10,11,53,26,21
1358,20250630-M-Wimbledon-R128-Alexei_Popyrin-Arthur_Fery,2025-06-30,Alexei Popyrin,5,73,51,51,24,16,11,114,37,43,9,12,59,29,25
1359,20250630-M-Wimbledon-R128-Alexei_Popyrin-Arthur_Fery,2025-06-30,Arthur Fery,3,68,45,46,32,3,2,124,49,35,19,10,34,14,17
1368,20250630-M-Wimbledon-R128-Alexander_Zverev-Arthur_Rinderknech,2025-06-30,Alexander Zverev,5,144,110,45,24,12,9,174,44,73,17,13,35,22,8
1369,20250630-M-Wimbledon-R128-Alexander_Zverev-Arthur_Rinderknech,2025-06-30,Arthur Rinderknech,3,124,98,50,32,9,9,189,55,78,34,15,54,28,23
1380,20250628-M-Mallorca-F-Tallon_Griekspoor-Corentin_Moutet,2025-06-28,Tallon Griekspoor,1,55,41,26,17,4,4,73,22,31,20,6,17,10,6
1381,20250628-M-Mallorca-F-Tallon_Griekspoor-Corentin_Moutet,2025-06-28,Corentin Moutet,1,46,34,27,17,4,3,81,23,28,13,7,17,11,5
1386,20250627-M-Eastbourne-R16-Taylor_Fritz-Joao_Fonseca,2025-06-27,Taylor Fritz,2,72,56,34,17,2,1,90,28,48,4,6,32,16,14
1387,20250627-M-Eastbourne-R16-Taylor_Fritz-Joao_Fonseca,2025-06-27,Joao Fonseca,1,63,49,27,13,7,4,106,33,42,11,6,42,22,19
1394,20250623-M-Eastbourne-R32-Zizou_Bergs-Joao_Fonseca,2025-06-23,Zizou Bergs,8,67,42,35,15,12,7,90,26,48,15,6,46,20,18
1395,20250623-M-Eastbourne-R32-Zizou_Bergs-Joao_Fonseca,2025-06-23,Joao Fonseca,2,71,50,19,14,3,2,102,45,45,13,4,24,12,10
1402,20250622-M-Halle-F-Alexander_Bublik-Daniil_Medvedev,2025-06-22,Alexander Bublik,5,48,38,21,14,2,2,68,24,31,13,6,17,9,3
1403,20250622-M-Halle-F-Alexander_Bublik-Daniil_Medvedev,2025-06-22,Daniil Medvedev,3,44,32,24,12,4,3,69,17,25,8,5,13,3,7
1408,20250621-M-Queens_Club-SF-Roberto_Bautista_Agut-Carlos_Alcaraz,2025-06-21,Roberto Bautista Agut,1,55,33,17,9,6,4,58,15,19,11,5,22,13,8
1409,20250621-M-Queens_Club-SF-Roberto_Bautista_Agut-Carlos_Alcaraz,2025-06-21,Carlos Alcaraz,1,41,30,17,13,1,1,72,30,38,17,5,17,11,5
1414,20250621-M-Halle-SF-Alexander_Zverev-Daniil_Medvedev,2025-06-21,Alexander Zverev,1,85,63,27,13,7,5,118,40,35,18,5,40,29,10
1415,20250621-M-Halle-SF-Alexander_Zverev-Daniil_Medvedev,2025-06-21,Daniil Medvedev,5,83,62,35,16,7,6,112,36,41,11,9,43,19,19
1422,20250620-M-Queens_Club-QF-Arthur_Rinderknech-Carlos_Alcaraz,2025-06-20,Arthur Rinderknech,5,33,29,21,9,2,0,60,15,38,8,1,19,8,6
1423,20250620-M-Queens_Club-QF-Arthur_Rinderknech-Carlos_Alcaraz,2025-06-20,Carlos Alcaraz,4,37,34,23,11,0,0,54,16,36,15,1,12,5,3
1428,20250619-M-Queens_Club-R16-Jaume_Munar-Carlos_Alcaraz,2025-06-19,Jaume Munar,8,79,55,51,22,7,3,126,45,41,20,7,43,22,13
1429,20250619-M-Queens_Club-R16-Jaume_Munar-Carlos_Alcaraz,2025-06-19,Carlos Alcaraz,8,66,50,60,31,12,10,130,53,54,35,4,47,23,16
1436,20250619-M-Queens_Club-R16-Gabriel_Diallo-Jiri_Lehecka,2025-06-19,Gabriel Diallo,2,34,22,16,9,4,1,45,9,22,5,1,22,10,10
1437,20250619-M-Queens_Club-R16-Gabriel_Diallo-Jiri_Lehecka,2025-06-19,Jiri Lehecka,3,27,26,18,10,0,0,50,19,29,2,4,17,11,3
1442,20250619-M-Halle-R16-Jannik_Sinner-Alexander_Bublik,2025-06-19,Jannik Sinner,3,57,44,33,16,6,4,92,29,30,18,5,20,11,6
1443,20250619-M-Halle-R16-Jannik_Sinner-Alexander_Bublik,2025-06-19,Alexander Bublik,6,59,46,33,17,9,8,90,30,38,11,8,28,12,10
1450,20250618-M-Halle-R16-Quentin_Halys-Daniil_Medvedev,2025-06-18,Quentin Halys,1,36,27,24,9,5,2,49,8,37,14,3,22,9,12
1451,20250618-M-Halle-R16-Quentin_Halys-Daniil_Medvedev,2025-06-18,Daniil Medvedev,0,32,29,17,12,0,0,60,24,37,7,5,3,1,2
1456,20250617-M-Queens_Club-R32-Adam_Walton-Carlos_Alcaraz,2025-06-17,Adam Walton,4,49,36,36,20,5,4,62,11,24,11,5,16,7,5
1457,20250617-M-Queens_Club-R32-Adam_Walton-Carlos_Alcaraz,2025-06-17,Carlos Alcaraz,3,42,36,20,15,2,2,85,29,37,17,6,24,14,7
1462,20250616-M-Halle-R32-Daniel_Altmaier-Daniil_Medvedev,2025-06-16,Daniel Altmaier,0,31,24,16,5,6,3,57,19,28,9,3,23,8,15
1463,20250616-M-Halle-R32-Daniel_Altmaier-Daniil_Medvedev,2025-06-16,Daniil Medvedev,3,41,29,16,9,2,2,47,18,26,5,4,19,8,8
1468,20250615-M-s_Hertogenbosch-F-Gabriel_Diallo-Zizou_Bergs,2025-06-15,Gabriel Diallo,2,49,37,28,21,2,2,81,26,30,11,7,20,10,8
1469,20250615-M-s_Hertogenbosch-F-Gabriel_Diallo-Zizou_Bergs,2025-06-15,Zizou Bergs,5,46,33,35,22,1,0,77,19,25,11,7,25,11,9
1474,20250614-M-s_Hertogenbosch-SF-Zizou_Bergs-Reilly_Opelka,2025-06-14,Zizou Bergs,1,24,21,23,15,0,0,52,24,28,12,2,11,5,5
1475,20250614-M-s_Hertogenbosch-SF-Zizou_Bergs-Reilly_Opelka,2025-06-14,Reilly Opelka,1,34,22,18,6,7,4,47,11,20,6,1,26,12,13
1480,20250614-M-Stuttgart-SF-Taylor_Fritz-Felix_Auger_Aliassime,2025-06-14,Taylor Fritz,1,37,32,20,17,0,0,67,19,22,7,4,9,3,5
1481,20250614-M-Stuttgart-SF-Taylor_Fritz-Felix_Auger_Aliassime,2025-06-14,Felix Auger Aliassime,1,47,38,20,10,2,1,57,8,24,7,1,26,11,14
1486,20250613-M-Stuttgart-QF-Ben_Shelton-Jiri_Lehecka,2025-06-13,Ben Shelton,3,28,28,16,12,0,0,48,13,37,8,0,6,1,2
1487,20250613-M-Stuttgart-QF-Ben_Shelton-Jiri_Lehecka,2025-06-13,Jiri Lehecka,6,30,29,18,6,4,2,44,4,30,5,1,16,6,4
1492,20250612-M-Stuttgart-R16-Giovanni_Mpetshi_Perricard-Felix_Auger_Aliassime,2025-06-12,Giovanni Mpetshi Perricard,3,37,30,23,8,4,1,50,11,36,7,7,23,11,9
1493,20250612-M-Stuttgart-R16-Giovanni_Mpetshi_Perricard-Felix_Auger_Aliassime,2025-06-12,Felix Auger Aliassime,2,27,24,23,15,4,3,60,22,26,6,1,11,6,3
1498,20250611-M-s_Hertogenbosch-R32-Hubert_Hurkacz-Roberto_Bautista_Agut,2025-06-11,Hubert Hurkacz,2,45,40,21,12,2,2,76,25,38,15,7,24,10,12
1499,20250611-M-s_Hertogenbosch-R32-Hubert_Hurkacz-Roberto_Bautista_Agut,2025-06-11,Roberto Bautista Agut,0,50,37,26,14,5,4,66,14,10,8,2,16,13,3
1504,20250611-M-Stuttgart-R16-Taylor_Fritz-Quentin_Halys,2025-06-11,Taylor Fritz,3,42,34,27,20,2,2,64,18,45,7,11,13,4,6
1505,20250611-M-Stuttgart-R16-Taylor_Fritz-Quentin_Halys,2025-06-11,Quentin Halys,4,34,29,30,17,2,1,69,15,44,11,8,22,11,7
1510,20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,2025-06-10,Preston Stearns,1,50,30,22,14,8,5,62,30,26,19,4,40,32,7
1511,20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,2025-06-10,Alejandro Lopez Escribano,6,38,24,24,8,8,3,72,28,8,4,2,30,11,13
1516,20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,2025-06-09,Benjamin Bonzi,0,50,34,19,8,6,4,56,13,28,3,1,18,11,7
1517,20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,2025-06-09,Jiri Lehecka,2,37,33,19,10,2,2,69,27,42,12,7,20,8,10
1522,20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,2025-06-08,Jannik Sinner,0,103,72,88,44,14,7,194,77,51,27,16,70,43,27
1523,20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,2025-06-08,Carlos Alcaraz,7,113,71,81,46,15,8,191,75,69,45,17,82,50,25
1534,20250607-M-Roland_Garros_Juniors-F-Max_Schoenhaus-Niels_Mcdonald,2025-06-07,Max Schoenhaus,3,54,36,30,13,5,1,84,22,26,17,5,54,26,25
1535,20250607-M-Roland_Garros_Juniors-F-Max_Schoenhaus-Niels_Mcdonald,2025-06-07,Niels Mcdonald,4,57,43,27,19,2,2,84,35,17,14,1,27,10,13
1542,20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,2025-06-06,Novak Djokovic,1,81,54,33,19,9,6,111,32,35,22,9,40,25,14
1543,20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,2025-06-06,Jannik Sinner,1,57,45,54,34,6,5,114,41,44,25,9,20,13,6
1550,20250606-M-Roland_Garros-SF-Lorenzo_Musetti-Carlos_Alcaraz,2025-06-06,Lorenzo Musetti,3,69,39,33,15,12,6,81,25,23,16,5,33,18,12
1551,20250606-M-Roland_Garros-SF-Lorenzo_Musetti-Carlos_Alcaraz,2025-06-06,Carlos Alcaraz,2,47,34,34,22,3,0,102,48,35,30,4,35,17,16
1560,20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,2025-06-04,Novak Djokovic,0,85,65,34,19,3,2,103,37,42,13,23,28,16,12
1561,20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,2025-06-04,Alexander Zverev,1,73,55,30,11,8,4,119,35,37,18,14,39,19,19
1570,20250604-M-Roland_Garros-QF-Jannik_Sinner-Alexander_Bublik,2025-06-04,Jannik Sinner,1,46,35,30,21,2,2,89,44,31,19,7,11,7,3
1571,20250604-M-Roland_Garros-QF-Jannik_Sinner-Alexander_Bublik,2025-06-04,Alexander Bublik,6,57,38,32,7,14,8,76,20,22,11,6,37,15,16
1578,20250603-M-Roland_Garros-QF-Lorenzo_Musetti-Frances_Tiafoe,2025-06-03,Lorenzo Musetti,3,75,61,32,16,3,2,114,46,45,22,12,26,7,16
1579,20250603-M-Roland_Garros-QF-Lorenzo_Musetti-Frances_Tiafoe,2025-06-03,Frances Tiafoe,0,69,45,45,23,11,6,107,30,35,26,3,50,27,23
1588,20250603-M-Roland_Garros-QF-Carlos_Alcaraz-Tommy_Paul,2025-06-03,Carlos Alcaraz,0,44,38,11,10,0,0,87,43,38,27,7,20,13,7
1589,20250603-M-Roland_Garros-QF-Carlos_Alcaraz-Tommy_Paul,2025-06-03,Tommy Paul,2,63,35,24,9,17,11,55,7,13,8,2,27,15,10
1596,20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,2025-06-02,Novak Djokovic,3,54,39,36,17,5,3,69,39,25,15,6,27,8,16
1597,20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,2025-06-02,Cameron Norrie,1,40,18,29,12,11,4,90,34,22,9,11,23,12,10
1604,20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,2025-06-02,Jannik Sinner,0,42,34,26,20,3,3,89,40,25,18,2,12,5,7
1605,20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,2025-06-02,Andrey Rublev,1,58,40,31,9,8,3,68,14,23,14,2,29,19,9
1612,20250602-M-Roland_Garros-R16-Alexander_Bublik-Jack_Draper,2025-06-02,Alexander Bublik,7,77,62,52,23,8,6,106,40,66,38,18,43,18,18
1613,20250602-M-Roland_Garros-R16-Alexander_Bublik-Jack_Draper,2025-06-02,Jack Draper,4,73,52,33,14,6,1,129,44,37,13,10,25,15,6
1622,20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,2025-06-01,Holger Rune,3,74,42,46,27,9,3,124,46,50,37,9,57,37,17
1623,20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,2025-06-01,Lorenzo Musetti,1,79,53,45,25,5,2,120,51,39,21,12,33,19,13
1632,20250601-M-Roland_Garros-R16-Frances_Tiafoe-Daniel_Altmaier,2025-06-01,Frances Tiafoe,0,65,47,31,18,3,0,99,44,43,26,8,40,23,17
1633,20250601-M-Roland_Garros-R16-Frances_Tiafoe-Daniel_Altmaier,2025-06-01,Daniel Altmaier,3,56,40,43,15,8,3,96,31,29,10,10,41,16,22
1640,20250601-M-Roland_Garros-R16-Ben_Shelton-Carlos_Alcaraz,2025-06-01,Ben Shelton,3,88,61,41,24,7,4,142,46,35,22,3,48,22,23
1641,20250601-M-Roland_Garros-R16-Ben_Shelton-Carlos_Alcaraz,2025-06-01,Carlos Alcaraz,2,99,67,43,29,9,7,129,44,46,32,5,42,27,13
1650,20250531-M-Roland_Garros-R32-Tallon_Griekspoor-Ethan_Quinn,2025-05-31,Tallon Griekspoor,4,100,79,39,19,7,5,153,59,36,22,5,35,15,16
1651,20250531-M-Roland_Garros-R32-Tallon_Griekspoor-Ethan_Quinn,2025-05-31,Ethan Quinn,8,101,66,52,28,19,13,139,41,55,35,12,52,24,20
1662,20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,2025-05-31,Novak Djokovic,0,51,41,24,16,1,1,90,38,32,20,6,14,7,7
1663,20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,2025-05-31,Filip Misolic,2,54,39,36,13,16,12,75,18,33,17,10,26,12,12
1670,20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,2025-05-31,Joao Fonseca,0,59,37,25,9,11,6,68,14,30,16,1,39,27,12
1671,20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,2025-05-31,Jack Draper,4,40,37,28,17,2,2,84,38,45,21,4,22,14,4
1678,20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,2025-05-31,Jannik Sinner,0,35,29,20,17,1,1,81,45,32,28,1,14,5,9
1679,20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,2025-05-31,Jiri Lehecka,1,51,22,30,14,18,11,55,9,16,6,7,31,14,16
1686,20250530-M-Roland_Garros-R32-Tommy_Paul-Karen_Khachanov,2025-05-30,Tommy Paul,4,100,69,59,25,15,9,165,66,56,34,12,54,27,23
1687,20250530-M-Roland_Garros-R32-Tommy_Paul-Karen_Khachanov,2025-05-30,Karen Khachanov,3,104,66,61,33,13,7,159,65,51,33,11,56,28,25
1698,20250530-M-Roland_Garros-R32-Sebastian_Korda-Frances_Tiafoe,2025-05-30,Sebastian Korda,5,57,42,50,27,3,1,100,25,29,9,5,43,18,20
1699,20250530-M-Roland_Garros-R32-Sebastian_Korda-Frances_Tiafoe,2025-05-30,Frances Tiafoe,5,53,41,47,34,2,2,107,38,38,20,5,37,18,14
1706,20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,2025-05-30,Lorenzo Musetti,4,75,52,40,18,9,4,132,64,43,29,11,60,34,22
1707,20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,2025-05-30,Mariano Navone,2,98,51,34,17,19,11,115,45,30,20,9,62,38,22
1716,20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,2025-05-29,Tallon Griekspoor,6,73,50,59,30,13,7,115,45,39,18,9,42,16,20
1717,20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,2025-05-29,Gabriel Diallo,6,71,49,44,21,11,5,132,52,52,27,12,46,19,21
1726,20250529-M-Roland_Garros-R64-Jannik_Sinner-Richard_Gasquet,2025-05-29,Jannik Sinner,0,54,46,18,8,3,3,80,36,26,17,6,22,9,13
1727,20250529-M-Roland_Garros-R64-Jannik_Sinner-Richard_Gasquet,2025-05-29,Richard Gasquet,5,44,30,36,14,11,6,72,18,21,11,8,29,19,5
1734,20250529-M-Roland_Garros-R64-Arthur_Fils-Jaume_Munar,2025-05-29,Arthur Fils,7,104,64,69,31,22,13,158,63,68,53,13,80,47,26
1735,20250529-M-Roland_Garros-R64-Arthur_Fils-Jaume_Munar,2025-05-29,Jaume Munar,13,100,73,58,22,13,8,173,78,44,21,13,44,16,15
1746,20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,2025-05-29,Alexander Bublik,12,79,58,51,22,13,7,128,48,52,21,16,52,21,19
1747,20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,2025-05-29,Alex De Minaur,8,61,45,67,35,14,8,130,50,44,29,10,36,17,11
1758,20250528-M-Roland_Garros-R64-Stefanos_Tsitsipas-Matteo_Gigante,2025-05-28,Stefanos Tsitsipas,6,77,57,44,18,14,9,126,42,32,21,4,53,31,16
1759,20250528-M-Roland_Garros-R64-Stefanos_Tsitsipas-Matteo_Gigante,2025-05-28,Matteo Gigante,2,77,61,49,23,13,11,121,46,43,12,20,41,11,28
1768,20250528-M-Roland_Garros-R64-Daniel_Elahi_Galan-Lorenzo_Musetti,2025-05-28,Daniel Elahi Galan,2,58,31,21,10,12,6,83,27,13,9,3,28,15,11
1769,20250528-M-Roland_Garros-R64-Daniel_Elahi_Galan-Lorenzo_Musetti,2025-05-28,Lorenzo Musetti,0,57,37,26,19,7,6,79,38,39,26,6,27,18,9
1776,20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,2025-05-27,Novak Djokovic,1,47,38,24,17,5,4,79,35,31,11,11,13,2,10
1777,20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,2025-05-27,Mackenzie Mcdonald,3,52,31,27,13,9,4,71,16,14,8,0,20,10,7
1784,20250527-M-Roland_Garros-R128-Matteo_Arnaldi-Felix_Auger_Aliassime,2025-05-27,Matteo Arnaldi,8,103,73,69,32,20,16,137,48,47,30,8,57,29,20
1785,20250527-M-Roland_Garros-R128-Matteo_Arnaldi-Felix_Auger_Aliassime,2025-05-27,Felix Auger Aliassime,7,80,57,57,32,17,12,172,67,64,38,11,59,28,24
1796,20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,2025-05-27,Hubert Hurkacz,0,51,34,28,9,12,7,71,17,28,17,5,27,17,10
1797,20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,2025-05-27,Joao Fonseca,0,51,40,20,14,2,2,79,36,33,19,5,17,10,7
1804,20250527-M-Roland_Garros-R128-Cameron_Norrie-Daniil_Medvedev,2025-05-27,Cameron Norrie,2,112,71,59,31,15,9,154,57,42,29,11,54,31,21
1805,20250527-M-Roland_Garros-R128-Cameron_Norrie-Daniil_Medvedev,2025-05-27,Daniil Medvedev,3,93,65,61,32,12,6,171,69,68,26,24,63,33,27
1816,20250526-M-Roland_Garros-R128-Ugo_Blanchet-Hugo_Gaston,2025-05-26,Ugo Blanchet,3,66,39,58,29,13,5,145,62,53,32,11,61,41,17
1817,20250526-M-Roland_Garros-R128-Ugo_Blanchet-Hugo_Gaston,2025-05-26,Hugo Gaston,4,91,57,54,26,17,11,124,56,44,36,7,51,20,27
1828,20250526-M-Roland_Garros-R128-Terence_Atmane-Richard_Gasquet,2025-05-26,Terence Atmane,10,61,39,53,19,17,9,95,37,48,39,3,62,40,12
1829,20250526-M-Roland_Garros-R128-Terence_Atmane-Richard_Gasquet,2025-05-26,Richard Gasquet,3,56,39,39,19,7,4,114,56,24,10,11,16,9,4
1838,20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,2025-05-26,Taylor Fritz,0,57,43,49,24,8,3,109,35,36,14,5,40,18,22
1839,20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,2025-05-26,Daniel Altmaier,4,61,46,48,28,5,4,106,39,46,21,15,42,20,18
1848,20250526-M-Roland_Garros-R128-Roberto_Bautista_Agut-Holger_Rune,2025-05-26,Roberto Bautista Agut,2,66,51,51,22,13,8,135,45,38,20,14,43,20,21
1849,20250526-M-Roland_Garros-R128-Roberto_Bautista_Agut-Holger_Rune,2025-05-26,Holger Rune,0,91,64,44,26,11,10,117,44,64,44,11,54,27,27
1858,20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,2025-05-26,Jannik Sinner,0,58,44,29,20,7,5,88,36,27,16,7,20,10,10
1859,20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,2025-05-26,Arthur Rinderknech,2,53,37,35,15,6,1,87,23,31,16,6,46,27,17
1866,20250526-M-Roland_Garros-R128-Casper_Ruud-Albert_Ramos,2025-05-26,Casper Ruud,3,58,43,22,12,2,1,90,39,35,20,7,40,19,18
1867,20250526-M-Roland_Garros-R128-Casper_Ruud-Albert_Ramos,2025-05-26,Albert Ramos,2,63,35,27,16,11,6,80,25,22,16,2,32,16,14
1874,20250526-M-Roland_Garros-R128-Carlos_Alcaraz-Giulio_Zeppieri,2025-05-26,Carlos Alcaraz,4,57,44,29,17,3,3,85,37,31,18,9,24,12,8
1875,20250526-M-Roland_Garros-R128-Carlos_Alcaraz-Giulio_Zeppieri,2025-05-26,Giulio Zeppieri,0,55,37,30,11,8,4,86,25,26,13,4,31,19,12
1882,20250526-M-Roland_Garros-R128-Alejandro_Tabilo-Arthur_Cazaux,2025-05-26,Alejandro Tabilo,2,91,59,63,37,14,10,120,44,32,18,9,52,26,24
1883,20250526-M-Roland_Garros-R128-Alejandro_Tabilo-Arthur_Cazaux,2025-05-26,Arthur Cazaux,5,68,49,52,27,9,4,154,58,53,26,15,59,39,15
1894,20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,2025-05-25,Yannick Hanfmann,3,62,31,37,20,13,7,70,17,24,17,7,33,22,8
1895,20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,2025-05-25,Lorenzo Musetti,1,47,39,23,14,0,0,99,48,39,18,16,20,12,7
1902,20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,2025-05-25,Valentin Royer,6,86,63,69,36,12,5,200,78,73,41,9,68,38,24
1903,20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,2025-05-25,Daniel Elahi Galan,6,133,86,67,36,19,13,155,56,56,28,6,51,25,20
1914,20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,2025-05-25,Tommy Paul,4,74,47,52,30,9,5,121,58,31,20,3,51,32,15
1915,20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,2025-05-25,Elmer Moller,7,72,40,49,23,21,11,126,49,32,12,13,68,28,33
1924,20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,2025-05-25,Kyrian Jacquet,6,98,71,87,37,22,15,161,60,66,33,22,71,39,26
1925,20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,2025-05-25,Nuno Borges,4,110,79,51,22,11,7,185,77,48,30,8,38,20,14
1936,20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,2025-05-25,Giovanni Mpetshi Perricard,5,78,59,49,27,11,8,138,50,42,16,8,46,22,19
1937,20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,2025-05-25,Zizou Bergs,8,78,54,60,34,12,8,127,41,48,29,7,52,32,12
1946,20250525-M-Roland_Garros-R128-Brandon_Nakashima-Mariano_Navone,2025-05-25,Brandon Nakashima,2,73,39,51,23,17,8,138,56,43,27,10,68,34,32
1947,20250525-M-Roland_Garros-R128-Brandon_Nakashima-Mariano_Navone,2025-05-25,Mariano Navone,2,95,65,43,17,18,12,124,62,28,16,5,43,32,9
1956,20250525-M-Roland_Garros-R128-Ben_Shelton-Lorenzo_Sonego,2025-05-25,Ben Shelton,5,102,71,37,20,10,6,124,49,62,32,5,45,17,23
1957,20250525-M-Roland_Garros-R128-Ben_Shelton-Lorenzo_Sonego,2025-05-25,Lorenzo Sonego,4,83,54,41,21,9,3,139,48,38,24,9,37,24,9
1968,20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,2025-05-24,Hubert Hurkacz,4,79,58,44,23,5,4,110,31,50,21,10,39,23,12
1969,20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,2025-05-24,Novak Djokovic,3,66,57,44,22,2,0,123,42,34,18,10,41,16,22
1976,20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,2025-05-23,Maximilian Marterer,1,42,29,22,15,6,6,46,20,23,14,6,14,8,5
1977,20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,2025-05-23,Federico Arnaboldi,0,34,19,12,7,4,1,64,20,18,13,2,25,15,10
1982,20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,2025-05-23,Hubert Hurkacz,1,37,28,18,14,2,2,53,19,10,3,1,12,6,5
1983,20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,2025-05-23,Sebastian Ofner,2,35,25,18,9,5,3,55,13,15,9,4,27,16,9
1988,20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,2025-05-22,Hubert Hurkacz,2,45,39,26,13,3,3,69,21,27,11,7,15,10,3
1989,20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,2025-05-22,Taylor Fritz,1,44,39,25,9,4,3,71,19,27,15,2,19,10,8
1994,20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,2025-05-21,Hubert Hurkacz,0,33,27,17,12,3,3,47,20,19,8,1,12,5,7
1995,20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,2025-05-21,Arthur Rinderknech,3,28,21,19,6,4,1,50,11,15,11,1,25,10,12
2000,20250520-M-Hamburg-R32-Daniel_Altmaier-Felix_Auger_Aliassime,2025-05-20,Daniel Altmaier,3,35,24,24,10,6,3,48,11,7,2,3,18,9,6
2001,20250520-M-Hamburg-R32-Daniel_Altmaier-Felix_Auger_Aliassime,2025-05-20,Felix Auger Aliassime,1,33,29,15,8,1,1,59,25,24,16,3,20,11,8
2006,20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,2025-05-20,Hubert Hurkacz,3,35,23,26,17,4,3,49,19,16,8,5,19,9,7
